created_at,id,id_str,text,full_text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,favorited_by,retweeted,scopes,lang,possibly_sensitive,display_text_width,display_text_range,retweeted_status,quoted_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-01-08T21:04:06Z,1612193452854501400,1612193452854501376,@Calilainmylap @Immortal_AMC 😱😍😱😍,@Calilainmylap @Immortal_AMC 😱😍😱😍,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1612172248923652e3,1612172248923652096,1193371810412335e3,1193371810412335105,Calilainmylap,,,,NA,FALSE,0,6,FALSE,NA,FALSE,NA,und,NA,NA,33,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-06T19:14:51Z,1611441180234944500,1611441180234944522,@Morat_x_Malta @misuertejpv Esa no es mi letra jajaja,@Morat_x_Malta @misuertejpv Esa no es mi letra jajaja,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1609701158095929300,1609701158095929345,1330962620703236e3,1330962620703236097,Morat_x_Malta,,,,NA,FALSE,13,1654,FALSE,NA,FALSE,NA,es,NA,NA,53,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-08T17:22:53Z,1600903755309887500,1600903755309887488,"@itamaria83 Ufff, es que esa cumbiesita que se tira 😍😍😍","@itamaria83 Ufff, es que esa cumbiesita que se tira 😍😍😍",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1600868873116430300,1600868873116430337,274820136,274820136,itamaria83,,,,NA,FALSE,7,374,FALSE,NA,FALSE,NA,es,NA,NA,55,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-04T01:04:43Z,1588336406346227700,1588336406346227712,Nos fuimos. 🌞🌞🌞🌞 https://t.co/KrdSuEP5mU,Nos fuimos. 🌞🌞🌞🌞 https://t.co/KrdSuEP5mU,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,253,2948,FALSE,NA,FALSE,NA,es,FALSE,NA,16,NA,,1588327841217011700,1588327841217011713,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-30T20:50:15Z,1586822815193485300,1586822815193485312,@vegaftvargas Súper grosero esto. 🫠,@vegaftvargas Súper grosero esto. 🫠,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1022172727246037e3,1022172727246036993,1017834436635881500,1017834436635881472,vegaftvargas,,,,NA,FALSE,9,286,FALSE,NA,FALSE,NA,es,NA,NA,35,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-25T03:11:44Z,1584744490749014e3,1584744490749014022,Hoy he disfrutado mucho mucho mucho. Gracias a todos los que me escribieron y a los que me pensaron. Ha sido un día 10/10. ✨🥰,Hoy he disfrutado mucho mucho mucho. Gracias a todos los que me escribieron y a los que me pensaron. Ha sido un día 10/10. ✨🥰,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,264,5257,FALSE,NA,FALSE,NA,es,NA,NA,125,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-09T03:51:04Z,1578956183724884e3,1578956183724883968,"Wowowowow. ¿Qué carajoos acabamos de vivir, Santiago? Quedé 👁👄👁. Nos vemos mañana. ❤️","Wowowowow. ¿Qué carajoos acabamos de vivir, Santiago? Quedé 👁👄👁. Nos vemos mañana. ❤️",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,318,5556,FALSE,NA,FALSE,NA,es,NA,NA,85,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-26T20:19:55Z,1563259972108308500,1563259972108308481,@MatildeyMilagro @petrogustavo @FranciaMarquezM Todos los símbolos nacionales de una jaja ya a nadie le dicen nada. 🥲,@MatildeyMilagro @petrogustavo @FranciaMarquezM Todos los símbolos nacionales de una jaja ya a nadie le dicen nada. 🥲,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1562995323861336e3,1562995323861336065,765363789810241500,765363789810241536,MatildeyMilagro,,,,NA,FALSE,3,188,FALSE,NA,FALSE,NA,es,NA,NA,117,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-26T00:04:53Z,1562954195418108e3,1562954195418107904,@camiftnath https://t.co/0yvrN0E7dJ,@camiftnath https://t.co/0yvrN0E7dJ,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1562799546563846100,1562799546563846144,1208268857737003e3,1208268857737003009,camiftnath,,,,NA,FALSE,26,574,FALSE,NA,FALSE,NA,qme,FALSE,NA,11,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-26T00:03:31Z,1562953854676652e3,1562953854676652032,@MatildeyMilagro @sebaslon @edsaay @luisalaeloisa @egonayerbe A mi que un animal pueda vivir de carroña me parece más fascinante que desagradable jaja Antes quitemos todos esos símbolos de heráldica europea que a nadie le dicen nada. Cambiemos todos los símbolos patrios por cosas que digan menos “queremos ser europeos”. 🫠,@MatildeyMilagro @sebaslon @edsaay @luisalaeloisa @egonayerbe A mi que un animal pueda vivir de carroña me parece más fascinante que desagradable jaja Antes quitemos todos esos símbolos de heráldica europea que a nadie le dicen nada. Cambiemos todos los símbolos patrios por cosas que digan menos “queremos ser europeos”. 🫠,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1562912772685385700,1562912772685385733,765363789810241500,765363789810241536,MatildeyMilagro,,,,NA,FALSE,5,173,FALSE,NA,FALSE,NA,es,NA,NA,323,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
